time_to_detection,area_covered_pct,probability_mass_covered,overlap_ratio,battery_used,successful_returns_to_base,forced_low_battery_returns,comms_failures,stale_information_events,path_efficiency,average_overlap_per_step,detection_under_comms_mode,entropy_reduction_over_time,information_gain_per_step,belief_peak_accuracy,time_to_first_candidate_detection,time_to_confirmed_detection,false_alarm_count,reroute_count,coordination_efficiency,return_to_base_efficiency,mission_success,strategy,seed,scenario_family,target_behavior,coordination_mode,drone_count,battery_budget,sensor_mode,steps_completed
4.0,53.84615384615385,0.678509835071163,0.6885245901639344,18.200000000000017,0,0,5,0,1.3793103448275863,0.2751894108119679,decentralized,0.5359114198417378,0.13397785496043446,4.3160955143899525e-06,2,4.0,1,9,0.09419924337957122,1.0,True,auction_based,0,open_terrain,stationary_intervals,decentralized,4,120.0,thermal_visual,4
4.0,53.036437246963565,0.6762902838720526,0.6960556844547564,18.80000000000001,0,0,5,0,1.350078492935636,0.298413990092869,decentralized,0.50257508676503,0.1256437716912575,2.9576975455819245e-07,2,4.0,0,8,0.08233653024225743,1.0,True,information_gain,0,open_terrain,stationary_intervals,decentralized,4,120.0,thermal_visual,4
7.0,78.5425101214575,0.8574686859275431,0.692063492063492,32.60000000000001,0,0,22,0,1.14300903774588,0.19601832042080677,decentralized,0.9154926163313037,0.13078465947590054,6.600603766848752e-05,1,7.0,1,23,0.339393355182829,1.0,True,random_sweep,0,open_terrain,stationary_intervals,decentralized,4,80.0,thermal_visual,7
,91.49797570850203,0.95291288434809,0.9404008438818565,208.5,2,4,102,0,1.0429309957293778,0.20135977942510772,decentralized,1.4695279400683834,0.04021026933092059,5.055036531832304e-07,7,,6,123,0.344779335144092,0.5,False,sector_search,0,open_terrain,stationary_intervals,decentralized,4,80.0,thermal_visual,45
9.0,80.16194331983806,0.9315797173063687,0.7933194154488518,39.60000000000004,0,0,9,0,1.3253612356751372,0.30501861369013256,decentralized,0.6604075203943767,0.07598766742830056,3.043100189477254e-06,2,9.0,1,27,0.3149597254739547,1.0,True,probability_greedy,0,open_terrain,stationary_intervals,decentralized,4,80.0,thermal_visual,9
4.0,53.84615384615385,0.678509835071163,0.6885245901639344,18.200000000000017,0,0,5,0,1.3793103448275863,0.2751894108119679,decentralized,0.5359114198417378,0.13397785496043446,4.3160955143899525e-06,2,4.0,1,9,0.09419924337957122,1.0,True,auction_based,0,open_terrain,stationary_intervals,decentralized,4,80.0,thermal_visual,4
4.0,53.036437246963565,0.6762902838720526,0.6960556844547564,18.80000000000001,0,0,5,0,1.350078492935636,0.298413990092869,decentralized,0.50257508676503,0.1256437716912575,2.9576975455819245e-07,2,4.0,0,8,0.08233653024225743,1.0,True,information_gain,0,open_terrain,stationary_intervals,decentralized,4,80.0,thermal_visual,4
13.0,97.74436090225564,0.9805279946926407,0.8568281938325991,55.418421921810776,0,0,5,0,0.8452460946166127,0.17779545792320367,centralized,2.7634292821616038,0.2125714832432003,1.2253068021828116e-06,11,13.0,1,48,0.513315226391971,1.0,True,random_sweep,0,layered_demo,terrain_biased,centralized,4,120.0,thermal_visual,13
14.0,81.95488721804512,0.7849327443939103,0.8765571913929785,75.32655489307203,0,0,4,0,0.5566541321005231,0.24379863742082913,centralized,1.3830900688172472,0.09879214777266052,1.5156763644177184e-08,1,14.0,3,43,0.3546036098172952,1.0,True,sector_search,0,layered_demo,terrain_biased,centralized,4,120.0,thermal_visual,14
10.0,86.46616541353383,0.9569506285710062,0.845222072678331,45.220196903929065,0,0,5,0,0.9510369569938086,0.33289816662567606,centralized,1.2973702120337798,0.14981601258608795,2.045382325180235e-10,1,10.0,1,28,0.39659607234162725,1.0,True,probability_greedy,0,layered_demo,terrain_biased,centralized,4,120.0,thermal_visual,10
5.0,71.42857142857143,0.8660347570002748,0.75,24.37204539675642,0,0,2,0,0.9738423234817372,0.3432062806230568,centralized,0.7792712521631362,0.15585425043262724,5.90256964530336e-07,1,5.0,1,14,0.305952380952381,1.0,True,auction_based,0,layered_demo,terrain_biased,centralized,4,120.0,thermal_visual,5
5.0,71.42857142857143,0.8660347570002748,0.7526041666666666,24.37204539675642,0,0,1,0,0.9762709335088876,0.36269923836953566,centralized,0.7759432524914462,0.15518865049828925,3.0364418955367866e-08,1,5.0,1,13,0.3213169642857143,1.0,True,information_gain,0,layered_demo,terrain_biased,centralized,4,120.0,thermal_visual,5
13.0,97.74436090225564,0.9805279946926407,0.8568281938325991,55.418421921810776,0,0,5,0,0.8452460946166127,0.17779545792320367,centralized,2.7634292821616038,0.2125714832432003,1.2253068021828116e-06,11,13.0,1,48,0.513315226391971,1.0,True,random_sweep,0,layered_demo,terrain_biased,centralized,4,80.0,thermal_visual,13
14.0,81.95488721804512,0.7849327443939103,0.8765571913929785,75.32655489307203,0,0,4,0,0.5566541321005231,0.24379863742082913,centralized,1.3830900688172472,0.09879214777266052,1.5156763644177184e-08,1,14.0,3,43,0.3546036098172952,1.0,True,sector_search,0,layered_demo,terrain_biased,centralized,4,80.0,thermal_visual,14
10.0,86.46616541353383,0.9569506285710062,0.845222072678331,45.220196903929065,0,0,5,0,0.9510369569938086,0.33289816662567606,centralized,1.2973702120337798,0.14981601258608795,2.045382325180235e-10,1,10.0,1,28,0.39659607234162725,1.0,True,probability_greedy,0,layered_demo,terrain_biased,centralized,4,80.0,thermal_visual,10
5.0,71.42857142857143,0.8660347570002748,0.75,24.37204539675642,0,0,2,0,0.9738423234817372,0.3432062806230568,centralized,0.7792712521631362,0.15585425043262724,5.90256964530336e-07,1,5.0,1,14,0.305952380952381,1.0,True,auction_based,0,layered_demo,terrain_biased,centralized,4,80.0,thermal_visual,5
5.0,71.42857142857143,0.8660347570002748,0.7526041666666666,24.37204539675642,0,0,1,0,0.9762709335088876,0.36269923836953566,centralized,0.7759432524914462,0.15518865049828925,3.0364418955367866e-08,1,5.0,1,13,0.3213169642857143,1.0,True,information_gain,0,layered_demo,terrain_biased,centralized,4,80.0,thermal_visual,5
12.0,98.49624060150376,0.9886200232867992,0.8480278422273781,53.36608842384328,0,0,14,0,0.8905831759351579,0.19307696606645094,decentralized,2.3104270795551347,0.19553950849764754,1.0798848907052937e-05,6,12.0,0,44,0.46094848490134854,1.0,True,random_sweep,0,layered_demo,terrain_biased,decentralized,4,120.0,thermal_visual,12
21.0,100.0,0.9999999999999999,0.9048640915593705,111.7872196614502,0,0,14,0,0.5932386645063656,0.2272221946848001,decentralized,2.8394279933416837,0.14656672858507763,4.4681005357820966e-05,1,21.0,5,68,0.483931590583951,1.0,True,sector_search,0,layered_demo,terrain_biased,decentralized,4,120.0,thermal_visual,21
,100.0,0.9999999999999999,0.9503175196115055,178.89917641874035,0,0,51,0,0.8568351544811077,0.17830601536444965,decentralized,1.6383891748575978,0.08438150316175615,1.0905660749122517e-05,1,,7,89,0.4248412401942473,1.0,False,probability_greedy,0,layered_demo,terrain_biased,decentralized,4,120.0,thermal_visual,45
11.0,93.23308270676692,0.986294044330479,0.8544600938967136,50.002747877519866,0,0,14,0,0.8777743494660385,0.3006339512414602,decentralized,1.5100281390491714,0.15361067975523915,3.5692741968148657e-07,1,11.0,2,31,0.4051007801193124,1.0,True,auction_based,0,layered_demo,terrain_biased,decentralized,4,120.0,thermal_visual,11
9.0,80.45112781954887,0.9430040676850049,0.8505586592178771,39.98599082868964,0,0,11,0,0.9465378586828952,0.39847701249696627,decentralized,0.7915470454445774,0.09542842166989463,1.5017731984625394e-07,1,9.0,1,25,0.2792319485865502,1.0,True,information_gain,0,layered_demo,terrain_biased,decentralized,4,120.0,thermal_visual,9
